鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
文山區,房地(土地+建物),臺北市文山區木柵路三段４９巷６號九樓,16.67,都市：其他:第三種商業區。,,,1100627,土地1建物1車位0,九層,十七層,住宅大樓(11層含以上有電梯),見使用執照,鋼筋混凝土造,0831111,148.38,3,2,2,有,有,21050000,141865,,0.0,0,陽台外推；其他增建；,RPTNMLRLPHGGFAA97DA,106.96,20.08,0.0,有,
文山區,房地(土地+建物),臺北市文山區富山路１５號,59.0,都市：其他:第三種住宅區。,,,1100721,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,,77.74,2,2,2,有,無,18500000,237973,,0.0,0,,RPPOMLQLQHGGFAA67DA,77.74,0.0,0.0,無,
文山區,房地(土地+建物)+車位,臺北市文山區秀明路一段１２９巷７２弄１６號三樓,286.25,都市：其他:第二種住宅區。,,,1100724,土地1建物1車位2,三層，四層，五層,五層,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1070302,511.43000000000006,4,3,5,有,無,73800000,177269,坡道平面,123.32,5000000,含裝潢費；含傢俱設備費；,RPRNMLKMQHGGFAA27DA,237.5,16.02,0.0,有,
文山區,車位,臺北市文山區仙岩路１１巷１號,0.38,都市：其他:第三種住宅區。,,,1100809,土地1建物1車位1,一層,十七層,其他,一般事務所,鋼骨鋼筋混凝土造,1050930,42.19,0,0,0,有,有,2250000,,坡道平面,42.19,2250000,僅車位交易；,RPUPMLSJRHGGFAA38DA,0.0,0.0,0.0,有,001
中正區,房地(土地+建物),臺北市中正區汀州路一段２２６巷１６號四樓,52.0,都市：其他:第三種住宅區。,,,1100809,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),集合住宅,鋼筋混凝土造,0670201,139.95,4,3,2,有,無,20500000,146481,,0.0,0,陽台外推；頂樓加蓋；其他增建；,RPPOMLTJRHGGFAA87DA,122.75,17.2,0.0,無,
中正區,房地(土地+建物),臺北市中正區漢口街一段８５號八樓之３,4.51,都市：其他:第四種商業區。,,,1100804,土地1建物1車位0,八層,十三層,住宅大樓(11層含以上有電梯),見使用執照,鋼筋混凝土造,0880923,48.23,0,0,0,無,有,9000000,186606,,0.0,0,,RPWOMLPJQHGGFBA18DA,31.65,0.0,0.0,有,
萬華區,房地(土地+建物)+車位,臺北市萬華區西園路一段１１５號六樓,19.59,都市：其他:第三種商業區。,,,1100807,土地1建物1車位1,六層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080528,223.49,4,2,2,有,有,35080000,172436,坡道平面,37.74,3050000,,RPPOMLKKQHGGFBA07DA,112.85,12.4,0.0,有,
萬華區,房地(土地+建物),臺北市萬華區中華路二段４１６巷１５號十樓,18.9,都市：其他:第三種住宅區。,,,1100725,土地1建物1車位0,十層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0760316,89.12,3,2,1,有,有,16180000,181553,,0.0,0,陽台外推；,RPWNMLQLQHGGFBA38DA,60.96,8.52,0.0,有,
萬華區,房地(土地+建物),臺北市萬華區武昌街二段１２４之２號六樓之５,5.85,都市：其他:第四種商業區。,,,1100806,土地1建物1車位0,六層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0630806,39.67,1,1,1,有,有,6500000,163852,,0.0,0,,RPUPMLKMQHGGFBA87DA,30.26,0.0,0.0,有,002
大同區,房地(土地+建物),臺北市大同區安西街９巷１１號,22.6,都市：其他:特定專用區(供一般商業使用)。,,,1100824,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,0740824,102.48,0,0,1,有,無,17200000,167838,,0.0,0,其他增建；,RPVPMLTJRHGGFBA68DA,84.3,7.32,0.0,無,003
大同區,房地(土地+建物),臺北市大同區長安西路２０５號二樓之１１,4.06,都市：其他:第三種商業區。,,,1100802,土地1建物1車位0,二層,十一層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0700909,40.71,1,1,1,有,有,6200000,152297,,0.0,0,,RPUNMLKKRHGGFBA57DA,26.77,3.36,0.0,有,
中山區,房地(土地+建物)+車位,臺北市中山區敬業一路１６８號四樓,28.69,都市：其他:商業區(供一般商業使用不得作住宅使用)。,,,1100701,土地1建物1車位1,四層,十一層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0970328,162.31,3,2,2,有,有,35000000,215637,坡道平面,31.77,0,,RPOPMLPKPHGGFCA57DA,76.23,16.46,0.0,有,
中山區,房地(土地+建物)+車位,臺北市中山區南京東路二段１０８號十六樓之１１,6.69,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第參種住宅區)。,,,1100727,土地3建物2車位1,十六層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,0990917,138.8,1,1,1,有,有,36680000,264265,升降平面,38.52,0,,RPPQMLSKQHGGFCA18DA,55.34,9.74,0.0,有,
中山區,房地(土地+建物),臺北市中山區松江路５６２號四樓之７,16.9,都市：其他:道路用地(公共設施用地)。69/2/22,,,1100804,土地4建物2車位0,四層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850719,85.1,2,1,1,有,有,11800000,138660,,0.0,0,,RPWPMLTKQHGGFCA88DA,52.12,1.66,0.0,有,
中山區,房地(土地+建物),臺北市中山區中山北路二段３９巷６號八樓之２,9.27,都市：其他:第肆種商業區(依都市計畫說明書圖規定辦理，始得作第肆種商業區使用)(原屬第參種商業區)。,,,1100618,土地1建物1車位0,八層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0900208,61.150000000000006,1,1,1,有,有,14800000,242028,,0.0,0,陽台外推；,RPSPMLNLQHGGFCA97DA,44.57,0.92,0.0,有,004
中山區,房地(土地+建物),臺北市中山區新生北路二段７２巷１７號八樓之３,6.25,都市：其他:第肆種商業區(依都市計畫說明書圖規定辦理，始得作第肆種商業區使用)(原屬第參種商業區)。,,,1100820,土地1建物1車位0,八層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0650903,29.12,1,1,1,有,有,4900000,168269,,0.0,0,,RPQQMLLJRHGGFCA57DA,29.12,0.0,0.0,有,005
內湖區,房地(土地+建物),臺北市內湖區文德路２２１號五樓,29.56,都市：其他:第三之一種住宅區及第三種住宅區。,,,1100810,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0730602,108.27,3,2,2,有,無,14750000,136233,,0.0,0,頂樓加蓋；,RPTOMLNJRHGGFCA87DA,94.58,10.44,0.0,無,
中山區,房地(土地+建物),臺北市中山區民生東路一段２５號七樓之１０,3.84,都市：其他:第肆種商業區(依都市計畫說明書圖規定辦理，始得作第肆種商業區使用)(原屬第參種商業區)。,,,1100807,土地1建物1車位0,七層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0690815,40.74,1,1,1,有,有,6920000,169858,,0.0,0,,RPPQMLKMQHGGFCA57DA,33.25,0.0,0.0,有,006
內湖區,房地(土地+建物)+車位,臺北市內湖區行善路３３３巷８８號六樓之１,37.31,都市：其他:住宅區。,,,1100720,土地1建物1車位1,六層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0980306,193.05,3,2,2,有,有,37500000,194250,升降平面,14.67,0,其他增建；,RPPQMLSJRHGGFCA18DA,87.59,26.77,0.0,有,007
松山區,房地(土地+建物)+車位,臺北市松山區敦化南路一段３號八樓,16.24,都市：其他:敦化南北路特定專用區(A區)(依都市計畫說明書圖規定辦理)(原屬第參種住宅區)。,,,1100318,土地2建物1車位1,八層,二十三層,住宅大樓(11層含以上有電梯),集合住宅,鋼骨造,1100203,235.31,0,0,0,無,無,119200000,574794,坡道平面,36.63,5000000,,RPVOMLQLPHGGFDA48DA,113.34,15.92,0.0,有,
南港區,房地(土地+建物)+車位,臺北市南港區重陽路１２５巷３６弄３０號,13.36,都市：其他:住宅區(供住宅使用)。,,,1100724,土地1建物1車位1,一層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0970122,66.07,2,2,1,有,有,14800000,224005,坡道機械,0.0,0,庭院約定專用一樓使用夾層；,RPPPMLPJQHGGFDA77DA,35.05,2.25,0.0,有,008
南港區,房地(土地+建物),臺北市南港區興中路６８巷１０號十樓,8.56,都市：其他:第三種商業區。,,,1100821,土地1建物1車位0,十層,十七層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0831216,82.38000000000001,3,1,1,有,有,16950000,205754,,0.0,0,,RPXPMLLJRHGGFDA28DA,61.11,7.79,0.0,有,
信義區,車位,臺北市信義區基隆路二段５１號房屋地下三層,0.29,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第參種住宅區)。,,,1100903,土地2建物1車位1,地下三層,十七層,其他,停車空間,鋼骨混凝土造,0820519,17.840000000000003,0,0,0,有,有,2100000,,坡道機械,0.0,2100000,僅車位交易；,RPROMLTJRHGGFDA38DA,0.0,0.0,0.0,有,009
北投區,房地(土地+建物)+車位,臺北市北投區中央北路二段３５０巷６０號九樓,47.75,都市：其他:第三種住宅區。,,,1100808,土地1建物1車位1,九層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040724,192.35000000000002,3,2,2,有,有,11000000,57187,坡道平面,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPXPMLLKQHGGFEA38DA,104.03,11.14,0.0,有,010
北投區,房地(土地+建物)+車位,臺北市北投區振興街１號二樓之１２,11.52,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第參種住宅區)及第三種住宅區。,,,1100809,土地1建物1車位1,二層,八層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0860203,85.6,1,1,1,有,有,12650000,147780,坡道平面,39.9,0,露台夾層；,RPOPMLTKQHGGFEA28DA,24.32,3.02,0.0,有,
士林區,房地(土地+建物),臺北市士林區德行東路３３１巷５０弄１２號四樓,32.49,都市：其他:第三種住宅區。,,,1100818,土地2建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0681128,130.18,3,2,2,有,無,20100000,154402,,0.0,0,陽台外推；其他增建；,RPWPMLPLQHGGFEA78DA,115.77,14.41,0.0,無,
北投區,房地(土地+建物)+車位,臺北市北投區致遠一路一段７５號三樓,18.04,都市：其他:第三種住宅區。,,,1100817,土地1建物1車位1,三層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1040903,114.32,2,1,1,有,有,18800000,164451,坡道平面,0.0,0,陽台外推；夾層；其他增建；,RPRQMLLMQHGGFEA08DA,43.18,12.63,0.0,有,011
士林區,房地(土地+建物),臺北市士林區大南路４００號四樓,25.23,都市：其他:第三種住宅區。,,,1100818,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0721006,105.56,3,2,2,有,無,13700000,129784,,0.0,0,陽台外推；,RPTNMLNJRHGGFEA97DA,98.23,7.33,0.0,無,012
士林區,房地(土地+建物)+車位,臺北市士林區忠誠路二段１４０巷１１號二樓等共同使用,380.0,都市：其他:道路用地(公共設施用地)。66/1/12,,,1100712,土地2建物7車位6,三層，四層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0890721,1479.21,13,9,12,有,無,254000000,171713,一樓平面,195.9,0,包含公共設施保留地用地；,RPTOMLNJRHGGFEA08DA,731.97,62.0,0.0,有,
北投區,土地,豐年段三小段274地號,266.23,都市：其他:農業區。,,,1100902,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5879128,22083,,0.0,0,,RPWNMLRJRHGGFEA68DA,0.0,0.0,0.0,無,013
北投區,房地(土地+建物)+車位,臺北市北投區榮華二路２１之１號二樓,23.54,都市：其他:第三種住宅區。,,,1100812,土地1建物1車位1,二層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0810720,116.51,3,2,2,有,無,18000000,154493,升降平面,0.0,0,,RPPPMLRJRHGGFEA18DA,94.41,10.45,0.0,有,014
士林區,房地(土地+建物)+車位,臺北市士林區天母北路１５號二樓,31.63,都市：其他:第三種住宅區。,,,1100814,土地1建物1車位1,二層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820719,198.25,3,2,2,有,有,38500000,194189,坡道平面,0.0,0,,RPQPMLSJRHGGFEA38DA,152.72,15.28,0.0,有,015
大安區,房地(土地+建物),臺北市大安區信義路四段１７０號七樓,12.42,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第貳種商業區)。,,,1100710,土地1建物1車位0,七層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0700220,124.55,1,2,2,有,有,33980000,272822,,0.0,0,其他增建；,RPUNMLMJRHGGFFA08DA,108.43,3.62,0.0,有,
大安區,房地(土地+建物),臺北市大安區和平東路一段１９１號五樓,7.97,都市：其他:第三種住宅區。,,,1100814,土地2建物1車位0,五層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1071224,83.56,1,1,1,有,有,29120000,348492,,0.0,0,,RPROMLQJRHGGFFA28DA,45.62,5.37,0.0,有,
大安區,房地(土地+建物),臺北市大安區復興南路二段１９３巷３３號七樓,28.75,都市：其他:第三種住宅區。,,,1100711,土地1建物1車位0,七層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0740522,148.32,3,2,2,有,有,31800000,214401,,0.0,0,,RPRNMLSJRHGGFFA38DA,111.02,12.52,0.0,有,
文山區,房地(土地+建物)+車位,臺北市文山區萬壽路２５巷９號三樓之３,32.34,都市：其他:第三種住宅區。,,,1100729,土地1建物1車位1,三層,十層,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1080124,161.11,3,2,2,有,有,25580000,202490,坡道平面,44.66,2000000,,RPRPMLRJOHGGFAA77EA,71.35,5.51,0.0,有,
文山區,房地(土地+建物)+車位,臺北市文山區木柵路四段２１巷１１號,57.15,都市：其他:第三種住宅區。,,,1100727,土地2建物1車位1,一層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0841127,131.93,3,1,2,有,有,12200000,92473,坡道平面,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPOTMLTJRHGGFAA38EA,69.04,9.56,0.0,有,
文山區,房地(土地+建物),臺北市文山區景華街１２８巷５０號五樓,30.32,都市：其他:第二種住宅區。,,,1100821,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0720902,109.14,3,2,2,有,有,11480000,105186,,0.0,0,,RPXPMLKKRHGGFAA08EA,95.9,13.24,0.0,無,
中正區,房地(土地+建物),臺北市中正區重慶南路三段８３號六樓,14.98,都市：其他:第三之一種住宅區。,,,1100808,土地1建物1車位0,六層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0720716,122.17999999999999,4,1,4,有,無,18500000,151416,,0.0,0,陽台外推；其他增建；,RPOQMLKKRHGGFAA27EA,91.31,26.6,0.0,有,
大同區,房地(土地+建物),臺北市大同區敦煌路１２２號五樓,21.5,都市：其他:第三種住宅區。,,,1100801,土地1建物1車位0,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0720621,122.09,3,2,2,有,有,8800000,72078,,0.0,0,二等親買賣。親友、員工、共有人或其他特殊關係間之交易；,RPQNMLKKRHGGFBA27EA,96.03,17.37,0.0,有,
中山區,房地(土地+建物),臺北市中山區吉林路２５８號二樓之１,20.16,都市：其他:第貳種商業區(依都市計畫說明書圖規定辦理，始得作第貳種商業區使用)(原屬第參種住宅區)。,,,1100802,土地1建物1車位0,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1030616,83.48,2,2,1,有,有,21100000,252755,,0.0,0,,RPSQMLMLPHGGFCA97EA,47.42,8.17,0.0,有,016
中山區,房地(土地+建物)+車位,臺北市中山區明水路３９７巷７弄８０號,54.23,都市：其他:第三種住宅區。,,,1100819,土地1建物1車位1,一層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830314,202.2,3,2,2,有,有,54870000,271365,坡道平面,0.0,3870000,,RPUQMLMLPHGGFCA18EA,149.51,12.96,0.0,有,
中山區,房地(土地+建物),臺北市中山區明水路３９７巷７弄８０號八樓,50.6,都市：其他:第三種住宅區。,,,1100819,土地1建物1車位0,八層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830314,164.85,3,2,1,有,有,45130000,273764,,0.0,0,,RPVQMLMLPHGGFCA28EA,123.5,13.89,0.0,有,
