鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
南區,房地(土地+建物),臺中市南區五權南路４８３號二樓之二,5.14,都市：其他:第三種住宅區。,,,1100629,土地1建物1車位0,二層,二十二層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,0970121,66.84,2,2,2,有,有,5000000,74806,,0.0,0,陽台外推；,RPRRMLTLOHGGFAB38DA,36.46,7.5,0.0,有,
西區,房地(土地+建物)+車位,臺中市西區忠明路３０號８樓之１,47.58,都市：其他:第三種住宅區。,,,1100709,土地1建物2車位3,八層,十四層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,0920122,486.53,5,2,4,有,有,29500000,60633,坡道平面,73.74,0,,RPQPMLTLPHGGFAB18DA,261.75,40.62,0.0,有,
西區,房地(土地+建物)+車位,臺中市西區臺灣大道二段４９８號八樓之二,20.38,都市：其他:第三種商業區,,,1100731,土地1建物1車位2,八層,二十六層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1011121,286.04,5,2,2,有,有,24680000,90947,坡道平面,47.66,3000000,其他增建；,RPQNMLLMPHGGFAB27DA,130.17,31.04,0.0,有,
西區,房地(土地+建物),臺中市西區華美西街一段７４號五樓,30.1,都市：其他:第二種住宅區,,,1100803,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0750530,114.50999999999999,3,2,2,有,無,6000000,52397,,0.0,0,頂樓加蓋；,RPUNMLNKQHGGFAB77DA,95.39,12.85,0.0,無,
南區,房地(土地+建物),臺中市南區五權南路４８３號十七樓之三,5.27,都市：其他:第三種住宅區。,,,1100814,土地1建物1車位0,十七層,二十二層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,0970121,68.4,2,0,2,有,有,5400000,78947,,0.0,0,陽台外推；含租約；,RPTNMLOKQHGGFAB77DA,37.34,7.68,0.0,有,
南區,房地(土地+建物)+車位,臺中市南區學府路２０８號１５樓之３,12.95,都市：其他:第二種住宅區,,,1100805,土地3建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,0840817,163.11,4,2,2,有,有,8250000,50579,坡道機械,0.0,0,,RPVNMLRKQHGGFAB28DA,102.28,10.38,0.0,有,
西區,房地(土地+建物)+車位,臺中市西區公益路３６３號２樓之１１,12.2,都市：其他:第二種住宅區,,,1100812,土地1建物1車位1,二層,十四層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,0891021,121.44,3,2,2,有,有,10500000,86462,坡道平面,12.81,0,陽台外推；,RPOOMLRKQHGGFAB67DA,70.75,7.75,0.0,有,
南區,房地(土地+建物),臺中市南區正氣街７３巷１１之４號,29.1,都市：其他:第二種住宅區,,,1100810,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0680727,71.34,2,2,1,有,無,3500000,49061,,0.0,0,其他增建；,RPXNMLNLQHGGFAB18DA,71.34,0.0,0.0,無,
西區,房地(土地+建物)+車位,臺中市西區公館路４３號８樓之２,17.44,都市：其他:第二種住宅區,,,1100806,土地1建物1車位1,八層,十三層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,0830727,161.89000000000001,3,2,2,有,有,9300000,57446,坡道機械,0.0,1000000,,RPVRMLNLQHGGFAB38DA,101.01,17.53,0.0,有,
中區,房地(土地+建物),臺中市中區中華路一段１２１號１２樓之１１,1.65,都市：其他:第一種商業區,,,1100811,土地1建物1車位0,十二層,十九層,住宅大樓(11層含以上有電梯),集合住宅,鋼骨鋼筋混凝土造,0850520,34.42,1,1,2,有,有,1950000,56653,,0.0,0,夾層；,RPRNMLOLQHGGFAB67DA,19.39,3.89,0.0,有,
西區,房地(土地+建物)+車位,臺中市西區五權西三街１３３號１５樓,22.17,都市：其他:第二種住宅區,,,1100808,土地3建物1車位2,十五層，十六層,二十二層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,0941117,312.37,4,2,3,有,有,23000000,73631,坡道平面,39.64,0,,RPSOMLOLQHGGFAB87DA,169.84,26.31,0.0,有,
南區,房地(土地+建物)+車位,臺中市南區福田一街３９號十二樓之２,18.15,都市：其他:第三種住宅區。,,,1100820,土地1建物1車位1,十二層,十二層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1080709,138.70999999999998,2,2,1,有,有,11000000,79302,坡道平面,38.43,0,,RPXPMLOLQHGGFAB48DA,58.13,9.58,0.0,有,0001
