鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
鼓山區,房地(土地+建物),高雄市鼓山區鼓山三路２４４號三樓,31.0,都市：其他:第四種住宅區,,,1100816,土地1建物1車位0,三層,005,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0760911,120.49,3,2,2,有,無,4550000,37762,,0.0,0,,RPSNMLTKQHGGFAE48DA,98.75,13.57,0.0,無,
鼓山區,房地(土地+建物),高雄市鼓山區裕民街１７２巷３１弄７號,59.0,都市：其他:第三種住宅區。,,,1100802,土地1建物1車位0,全,002,透天厝,住家用,加強磚造,0580301,93.24,4,2,3,有,無,5000000,53625,,0.0,0,頂樓加蓋；其他增建；,RPTNMLTKQHGGFAE58DA,93.24,0.0,0.0,無,001
鼓山區,房地(土地+建物)+車位,高雄市鼓山區青海路５３號七樓,24.83,都市：其他:特定第五種住宅區,,,1100725,土地1建物1車位1,七層,024,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020619,242.26999999999998,4,2,2,有,有,19980000,82470,坡道平面,28.39,0,,RPWOMLPLQHGGFAE68DA,120.58,22.39,0.0,有,002
鼓山區,房地(土地+建物),高雄市鼓山區明德路４１號,162.0,都市：其他:第三種住宅區。,,,1100731,土地1建物1車位0,全,002,透天厝,,加強磚造,0570320,270.78,10,6,6,有,無,26000000,96019,,0.0,0,頂樓加蓋；,RPTOMLLJRHGGFAE87DA,270.78,0.0,0.0,無,
前金區,房地(土地+建物),高雄市前金區民生二路１４９號,57.0,都市：其他:第三種特定商業專用區,,,1100625,土地1建物1車位0,全,003,透天厝,,加強磚造,0590218,130.86,3,2,2,有,無,16380000,125172,,0.0,0,,RPUOMLLJRHGGFAE97DA,130.86,0.0,0.0,無,
前金區,房地(土地+建物)+車位,高雄市前金區光復三街３９號六樓之５,9.61,都市：其他:第四種商業區,,,1090224,土地1建物1車位1,六層,015,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土,1091106,124.59,2,2,1,有,有,9050000,71274,坡道平面,22.87,1800000,,RPOPMLMJRHGGFAE57DA,56.42,9.06,0.0,有,
鼓山區,房地(土地+建物),高雄市鼓山區厚德路１７８號,30.77,都市：其他:第五種住宅區,,,1100730,土地1建物1車位0,一層，夾層,011,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0910506,121.7,4,2,2,有,有,8800000,72309,,0.0,0,其他增建；,RPQNMLTJRHGGFAE28DA,88.87,5.89,0.0,無,
鹽埕區,房地(土地+建物),高雄市鹽埕區大公路９號,85.0,都市：其他:第五種商業區,,,1100607,土地1建物1車位0,全,002,透天厝,住商用,加強磚造,0340920,161.24,3,1,1,有,無,6800000,42173,,0.0,0,房屋老舊.須整修.增值稅.代書費由買方支付親友、員工、共有人或其他特殊關係間之交易；,RPVNMLSJRHGGFAE68DA,161.24,0.0,0.0,無,
鼓山區,房地(土地+建物)+車位,高雄市鼓山區裕國街１３３號十樓,15.8,都市：其他:第五種住宅區,,,1100723,土地1建物1車位1,十層,014,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940909,132.82,3,2,2,有,有,9300000,70020,坡道機械,14.54,0,,RPWNMLSJRHGGFAE78DA,72.08,11.17,0.0,有,
