鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
土城區,房地(土地+建物)+車位,新北市土城區莊園街３９號二十五樓,15.16,都市：其他:住宅區,,,1100727,土地1建物1車位1,二十五層,二十七層,住宅大樓(11層含以上有電梯),集合住宅,鋼骨構造,1080412,110.44,1,2,1,有,有,13130000,152453,坡道平面,36.45,1850000,,RPWPMLRLPHGGFAF98DA,45.78,4.71,0.0,有,
土城區,房地(土地+建物)+車位,新北市土城區莊園街５１號二十樓,30.73,都市：其他:住宅區,,,1100806,土地1建物1車位1,二十層,二十七層,住宅大樓(11層含以上有電梯),集合住宅,鋼骨構造,1080412,187.19,3,2,2,有,有,24500000,148600,坡道平面,36.45,2100000,,RPXPMLMJQHGGFAF48DA,97.18,5.69,0.0,有,
土城區,房地(土地+建物)+車位,新北市土城區莊園街４３號二十一樓,30.73,都市：其他:住宅區,,,1100809,土地1建物1車位1,二十一層,二十七層,住宅大樓(11層含以上有電梯),集合住宅,鋼骨構造,1080412,199.18,3,2,2,有,有,26800000,153321,坡道平面,36.45,1850000,,RPOQMLOJQHGGFAF87DA,96.93,14.13,0.0,有,
土城區,房地(土地+建物),新北市土城區中央路三段１８３之５號二樓,15.02,都市：其他:高速公路用地,,,1100806,土地4建物1車位0,二層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940120,138.47,3,2,2,有,有,12500000,90272,,0.0,0,,RPPPMLPJQHGGFAF97DA,87.11,12.34,0.0,有,0001
土城區,房地(土地+建物)+車位,新北市土城區莊園街３９號二十六樓,15.16,都市：其他:住宅區,,,1100812,土地1建物1車位1,二十六層,二十七層,住宅大樓(11層含以上有電梯),集合住宅,鋼骨構造,1080412,110.44,1,2,1,有,有,13420000,152994,坡道平面,36.45,2100000,,RPPNMLRJQHGGFAF97DA,45.78,4.71,0.0,有,
板橋區,房地(土地+建物),新北市板橋區四川路二段２３７號七樓之７,2.42,都市：其他:住宅區,,,1100807,土地1建物1車位0,七層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,0810808,25.59,1,0,1,有,有,3130000,122361,,0.0,0,陽台外推；,RPXOMLNKQHGGFAF58DA,14.48,0.0,0.0,有,0002
土城區,房地(土地+建物),新北市土城區中央路一段２６８號十九樓之２,16.14,都市：其他:商業區,,,1100814,土地1建物1車位0,十九層,三十二層,住宅大樓(11層含以上有電梯),辦公室,鋼骨構造、鋼骨鋼筋混凝土構造,1081120,107.17999999999999,1,0,0,有,有,15050000,140418,,0.0,0,,RPXQMLRKQHGGFAF56DA,61.56,8.71,0.0,有,0003
土城區,房地(土地+建物)+車位,新北市土城區莊園街２１號十四樓,46.7,都市：其他:住宅區,,,1100415,土地1建物1車位2,十四層,二十二層,住宅大樓(11層含以上有電梯),集合住宅,鋼骨構造,1080412,310.35,4,2,3,有,有,38880000,125278,坡道平面,72.9,0,,RPROMLKLQHGGFAF77DA,145.5,15.98,0.0,有,
板橋區,房地(土地+建物),新北市板橋區國慶路３號八樓,15.84,都市：其他:乙種工業區,,,1100816,土地1建物1車位0,八層,十四層,住宅大樓(11層含以上有電梯),工業用,鋼筋混凝土造,0841208,112.87,2,2,2,有,有,11500000,101887,,0.0,0,陽台外推；其他增建；,RPQSMLNLQHGGFAF38DA,78.97,8.95,0.0,有,
土城區,房地(土地+建物)+車位,新北市土城區莊園街１５號四樓,39.66,都市：其他:住宅區,,,1100812,土地1建物1車位2,四層,二十二層,住宅大樓(11層含以上有電梯),集合住宅,鋼骨構造,1080412,272.91999999999996,4,2,2,有,有,31200000,114319,坡道平面,72.9,0,,RPTSMLOLQHGGFAF78DA,122.54,13.49,0.0,有,
板橋區,房地(土地+建物)+車位,新北市板橋區華江一路５６８號十九樓,19.17,都市：其他:商業區,,,1060912,土地1建物1車位1,十九層,十九層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1100421,165.5,3,2,2,有,有,19110000,127258,坡道平面,29.87,1850000,預售屋、或土地及建物分件登記案件；,RPPTMLLMQHGGFAF28DA,76.09,12.14,0.0,有,
板橋區,房地(土地+建物)+車位,新北市板橋區華江一路５５０號十四樓,16.58,都市：其他:商業區,,,1060901,土地1建物1車位1,十四層,十九層,住宅大樓(11層含以上有電梯),辦公室,鋼筋混凝土造,1100421,136.01,0,0,0,無,有,13670000,106706,坡道機械,14.93,750000,預售屋、或土地及建物分件登記案件；,RPRTMLLMQHGGFAF48DA,69.15,9.26,0.0,有,
板橋區,房地(土地+建物)+車位,新北市板橋區華江一路５７８號十四樓,10.62,都市：其他:商業區,,,1060901,土地1建物1車位1,十四層,十九層,住宅大樓(11層含以上有電梯),辦公室,鋼筋混凝土造,1100421,101.72,0,0,0,無,有,9730000,108281,坡道平面,29.87,1950000,預售屋、或土地及建物分件登記案件；,SPRTMLLMQHGGFAF58DA,39.7,6.79,0.0,有,
板橋區,房地(土地+建物)+車位,新北市板橋區華江一路５７６號十四樓,11.86,都市：其他:商業區,,,1060901,土地1建物1車位1,十四層,十九層,住宅大樓(11層含以上有電梯),辦公室,鋼筋混凝土造,1100421,100.73,0,0,0,無,有,9950000,107226,坡道機械,14.93,750000,預售屋、或土地及建物分件登記案件；,TPRTMLLMQHGGFAF68DA,47.09,8.37,0.0,有,
板橋區,房地(土地+建物),新北市板橋區華江一路１７０號十一樓,5.14,都市：其他:商業區,,,1100816,土地1建物1車位0,十一層,十九層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1071227,68.33,2,1,1,有,有,10200000,149276,,0.0,0,,RPROMLLMQHGGFAF97DA,37.4,8.72,0.0,有,0004
板橋區,房地(土地+建物),新北市板橋區民生路三段３２３號十三樓之１,1.26,都市：其他:住宅區,,,1100823,土地2建物1車位0,十三層,三十七層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0950914,37.89,0,1,1,有,有,5800000,153075,,0.0,0,附家具家電,RPUPMLQJRHGGFAF68DA,20.92,4.85,0.0,有,0005
板橋區,房地(土地+建物),新北市板橋區溪崑二街５６巷３號五樓,18.35,都市：其他:第一種住宅區,,,1100809,土地1建物1車位0,五層，陽台，露台,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,71.69,4,0,4,有,無,7150000,99735,,0.0,0,頂樓加蓋；,RPUPMLRJRHGGFAF78DA,71.69,0.0,0.0,無,0006
板橋區,房地(土地+建物),新北市板橋區文化路一段１８８巷９弄５４號一樓,32.5,都市：其他:住宅區,,,1100823,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,,77.18,3,2,1,有,無,18000000,233221,,0.0,0,前平台、後陽台增建，依使用現況點交,RPOQMLRJRHGGFAF28DA,77.18,0.0,0.0,無,
板橋區,房地(土地+建物)+車位,新北市板橋區信義路１６３巷２號二樓,55.36,都市：其他:乙種工業區,,,1100812,土地1建物1車位1,二層,十層,華廈(10層含以下有電梯),工業用,鋼筋混凝土造,0790904,413.99,0,0,0,無,有,32500000,78504,坡道平面,49.63,0,,RPXRMLRJRHGGFAF66DA,354.58,46.69,0.0,有,
板橋區,土地,民族段898-9地號,93.52,都市：其他:道路用地,,,1100818,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,14813435,158399,,0.0,0,包含公共設施保留地用地；,RPWSMLRJRHGGFAF66DA,0.0,0.0,0.0,無,0007
土城區,房地(土地+建物),新北市土城區學府路一段２０９巷６號五樓,24.8,都市：其他:第二種住宅區,,,1100811,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0740903,90.96,3,2,2,有,無,9400000,103342,,0.0,0,頂樓鐵皮加蓋頂樓加蓋；,RPWNMLSJRHGGFAF88DA,80.78,10.18,0.0,無,0008
土城區,土地,安和段197-6地號,143.79,都市：其他:排水溝用地,,,1100726,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,11556700,80372,,0.0,0,包含公共設施保留地用地；,RPTOMLSJRHGGFAF68DA,0.0,0.0,0.0,無,
土城區,房地(土地+建物),新北市土城區樂利街３巷３２號,9.55,都市：其他:第二種住宅區,,,1100801,土地3建物1車位0,一層,八層,華廈(10層含以下有電梯),店舖,鋼筋混凝土造,0881015,69.73,0,0,0,無,有,11500000,164922,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPUPMLSJRHGGFAF88DA,56.67,2.43,0.0,有,0009
板橋區,建物,新北市板橋區文化路二段３６９巷２號,0.0,,,,1090330,土地0建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,,35.94,0,0,0,無,無,279246,7770,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；其他增建；,RPXRMLSJRHGGFAF76DA,35.94,0.0,0.0,無,
板橋區,房地(土地+建物),新北市板橋區大觀路二段２２巷１４號四樓,25.96,都市：其他:住宅區(再),,,1100812,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,86.24,3,2,2,有,無,8250000,95663,,0.0,0,陽台外推；其他增建；,RPOQMLTJRHGGFAF48DA,71.68,14.56,0.0,無,0010
林口區,房地(土地+建物)+車位,新北市林口區民族路１０號七樓,26.63,都市：其他:第五種住宅區,,,1100720,土地1建物1車位2,七層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970923,216.41,3,2,2,有,有,18500000,97241,坡道平面,58.04,3100000,其他增建；,RPUPMLKLPHGGFBF18DA,97.65,13.27,0.0,有,0011
