鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
桃園區,房地(土地+建物)+車位,桃園市桃園區文中東路８０號十二樓,20.23,都市：其他:住宅區,,,1100123,土地1建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100610,134.3,2,2,1,有,有,10300000,79009,坡道平面,27.35,1850000,預售屋、或土地及建物分件登記案件；,RPVQMLPJPHGGFAH78DA,65.21,6.66,0.0,有,
桃園區,房地(土地+建物)+車位,桃園市桃園區文中東路８０號十三樓,20.23,都市：其他:住宅區,,,1100109,土地1建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100610,134.3,2,2,1,有,有,9800000,77606,坡道平面,27.35,1500000,預售屋、或土地及建物分件登記案件；,RPWQMLPJPHGGFAH88DA,65.21,6.66,0.0,有,
桃園區,房地(土地+建物)+車位,桃園市桃園區文中東路９２號十三樓,23.35,都市：其他:住宅區,,,1090919,土地1建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100610,148.39,3,2,2,有,有,11000000,76834,坡道平面,27.35,1700000,預售屋、或土地及建物分件登記案件；,RPWRMLPJPHGGFAH98DA,75.85,7.03,0.0,有,
桃園區,房地(土地+建物)+車位,桃園市桃園區文中東路９０號六樓,23.35,都市：其他:住宅區,,,1091026,土地1建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100610,150.68,3,2,2,有,有,10850000,75813,坡道平面,27.35,1500000,預售屋、或土地及建物分件登記案件；,RPRPMLQJPHGGFAH38DA,75.85,7.03,0.0,有,
桃園區,房地(土地+建物)+車位,桃園市桃園區文中東路１０２號七樓,25.45,都市：其他:住宅區,,,1090905,土地1建物1車位2,七層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100610,186.69,4,2,2,有,有,12900000,75006,坡道平面,54.7,3000000,預售屋、或土地及建物分件登記案件；,RPQRMLQJPHGGFAH48DA,83.02,7.29,0.0,有,
桃園區,房地(土地+建物)+車位,桃園市桃園區文中東路１０２號十樓,25.42,都市：其他:住宅區,,,1090925,土地1建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100610,159.34,4,2,2,有,有,11410000,75991,坡道平面,27.35,1380000,親友、員工、共有人或其他特殊關係間之交易；預售屋、或土地及建物分件登記案件；,RPWRMLQJPHGGFAH09DA,83.02,7.29,0.0,有,
桃園區,房地(土地+建物)+車位,桃園市桃園區文中東路８２號二樓,18.87,都市：其他:住宅區,,,1100123,土地1建物1車位1,二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100610,127.06,2,2,1,有,有,10600000,88757,坡道平面,27.35,1750000,預售屋、或土地及建物分件登記案件；,RPSSMLQJPHGGFAH78DA,60.44,6.55,0.0,有,
桃園區,房地(土地+建物)+車位,桃園市桃園區文中東路１００號二樓,24.09,都市：其他:住宅區,,,1090924,土地1建物1車位1,二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100610,152.34,3,2,2,有,有,12450000,86007,坡道平面,27.35,1700000,預售屋、或土地及建物分件登記案件；,RPXSMLQJPHGGFAH66DA,78.34,7.19,0.0,有,
桃園區,房地(土地+建物)+車位,桃園市桃園區文中東路１００號五樓,24.09,都市：其他:住宅區,,,1090530,土地1建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100610,152.36,3,2,2,有,有,10780000,74234,坡道平面,27.35,1500000,預售屋、或土地及建物分件登記案件；,RPUTMLQJPHGGFAH09DA,78.34,7.21,0.0,有,
