鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
中正區,房地(土地+建物)+車位,臺北市中正區延平南路１５０號九樓之２,14.04,都市：其他:第四種商業區。,,,1100129,土地1建物1車位1,九層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1080723,173.4,0,0,0,無,有,47300000,314670,坡道平面,35.17,3800000,毛胚屋；,RPUNMLPKPHGGFBA87DA,89.72,8.82,0.0,有,
大安區,房地(土地+建物)+車位,臺北市大安區安和路二段８８號二十四樓,36.77,都市：其他:第三之一種住宅區。,,,1100811,土地2建物1車位1,二十四層，二十五層,二十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0780810,379.90999999999997,6,5,4,有,有,109000000,305543,坡道平面,36.26,4000000,,RPUQMLNKPHGGFFA48EA,283.91,47.97,0.0,有,
萬華區,房地(土地+建物)+車位,臺北市萬華區環河南路二段１９號十二樓,8.55,都市：其他:第肆種商業區(依都市計畫說明書圖規定辦理，始得作第肆種商業區使用)(原屬第參種商業區)。,,,1100811,土地2建物1車位1,十二層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090807,110.27,2,2,1,有,無,19000000,193734,坡道機械,19.94,1500000,,RPQSMLKMQHGGFBA77DA,53.71,7.08,0.0,有,
萬華區,房地(土地+建物)+車位,臺北市萬華區康定路１０３號九樓之１０,3.9,都市：其他:第四種商業區。,,,1100813,土地1建物1車位1,九層,二十六層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1050331,85.91,1,1,1,有,有,12000000,139681,坡道平面,33.7,0,,RPXOMLTKQHGGFBA78DA,29.69,4.82,0.0,有,109.0
大安區,房地(土地+建物)+車位,臺北市大安區敦化南路一段１３８號十三樓之５,11.95,都市：其他:敦化南北路特定專用區(A區)(依都市計畫說明書圖規定辦理)(原屬第肆之壹種住宅區)。,,,1100707,土地2建物1車位1,十三層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1090909,191.96,3,2,2,有,有,82000000,427172,坡道平面,32.28,0,,RPPNMLNLQHGGFFA77DA,95.16,11.62,0.0,有,
大安區,房地(土地+建物),臺北市大安區新生南路三段３６之１號九樓之２,9.53,都市：其他:第三種住宅區。,,,1100827,土地1建物1車位0,九層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0770106,123.72999999999999,3,2,2,有,有,40000000,323285,,0.0,0,,RPVPMLOKRHGGFFA78EA,92.33,10.33,0.0,有,
萬華區,房地(土地+建物)+車位,臺北市萬華區桂林路１０９號十七樓,10.92,都市：其他:第四種商業區。,,,1100806,土地1建物1車位1,十七層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081008,187.44,3,2,2,有,有,30000000,160051,坡道平面,0.0,0,,RPTNMLPKRHGGFBA08EA,83.01,17.71,0.0,有,
文山區,房地(土地+建物),臺北市文山區仙岩路２２巷９號二樓之１,34.87,都市：其他:第三種住宅區。,,,1100820,土地1建物1車位0,二層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840411,185.91,4,2,2,有,有,27000000,145232,,0.0,0,,RPVNMLQKRHGGFAA28EA,113.39,46.93,0.0,有,
內湖區,房地(土地+建物),臺北市內湖區星雲街１６８巷３５號十三樓之６,8.22,都市：其他:第三種住宅區。,,,1100812,土地1建物1車位0,十三層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860124,48.4,1,1,1,有,有,10800000,223140,,0.0,0,陽台外推；夾層；其他增建；,RPSOMLOKRHGGFCA97DA,26.63,6.88,0.0,有,159.0
西屯區,房地(土地+建物)+車位,臺中市西屯區市政北一路２６７號七樓之２,10.65,都市：其他:第六種新市政中心專用區,,,1100816,土地1建物1車位1,七層,二十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0951113,144.55,3,2,2,有,有,14380000,114687,坡道平面,34.86,1800000,陽台外推；,RPTQMLQKQHGGFCB48DA,64.38,13.57,0.0,有,
